年度,學號,
109,08153244,"A,E,C"
109,08153247,"C,E,I"
109,08153250,"R,I,E"
109,08153254,A
109,08153255,"S,E,A"
109,08153256,"A,E,S"
109,08153281,"C,I,R"
109,08153303,"E,C"
109,08153310,"S,C"
109,08153311,"C,I,S"
109,08153312,"E,S,A"
109,08153313,"C,I,R"
109,08153314,"E,C"
109,08153315,"A,S,C,E"
109,08153316,"E,C,S"
109,08153318,"E,R,S"
109,08153320,"E,A"
109,08153323,"A,C,S"
109,08153326,"E,A,S"
109,08153328,"E,C,S"
109,08153332,"E,C"
109,08153333,"C,E,A"
109,08153336,"C,R,S"
109,08153337,"C,R,I"
109,08153339,"E,A"
109,08153340,"A,I,R"
109,08153341,"E,A"
109,08153343,"S,E,A"
109,08153345,"A,S,I"
109,08153346,"A,E,S"
109,08153347,"C,S"
109,08153357,"I,R,C,E"
109,08153371,"C,R"
109,08153374,"C,S,E"
109,08153401,"E,I,C"
109,08153405,"C,E"
109,08153407,"C,S,E"
109,08153408,"C,E,I"
109,08153409,"E,S,C"
109,08153416,"C,S"
109,08153417,"C,S,R"
109,08153418,"C,A,R"
109,08153420,"C,E,S"
109,08153422,"C,A,E"
109,08153423,"I,E"
109,08153424,"C,A"
109,08153425,"C,S,R"
109,08153427,"E,S,I"
109,08153428,"I,C,R,S"
109,08153430,"E,S,C"
109,08153433,"E,I,C,S"
109,08153435,"E,A,S"
109,08153436,"C,E,S"
109,08153439,"C,E,R"
109,08153441,"I,S,E"
109,08153442,"C,E,S"
109,08153444,"C,E,I"
109,08153445,"E,A,I"
109,08153446,"C,E,S"
109,08153447,"A,C"
109,08153449,"E,I"
109,08153450,"E,R,C"
109,08153451,"S,C,I"
109,08153453,E
109,08153456,"E,C"
109,08153457,"C,E,R"
109,08153471,"E,C"
109,08153501,"A,C,I"
109,08154217,"E,C,S"
109,08155101,"A,R,C"
109,08155102,"C,S,I"
109,08155103,"C,E,I,R"
109,08155104,"C,E,I"
109,08155105,"A,I,R"
109,08155106,"C,E,S"
109,08155107,"C,I,E"
109,08155108,"C,I,S"
109,08155109,"C,E"
109,08155110,"E,R,S"
109,08155111,"C,E,I"
109,08155112,"C,I,R"
109,08155113,"R,A,C"
109,08155114,"C,E,R"
109,08155116,"E,A,I,S"
109,08155118,"C,E,R"
109,08155120,"I,S,E,R"
109,08155121,"A,C,S"
109,08155122,"C,I,S"
109,08155123,"C,I,R"
109,08155125,"C,E,I"
109,08155126,"E,C,I"
109,08155127,"E,S"
109,08155129,"R,E,I,S"
109,08155130,"E,I"
109,08155131,"S,E,I"
109,08155132,"C,I,E"
109,08155133,"C,S"
109,08155134,"E,A,C,S"
109,08155135,"I,R"
109,08155136,"C,I,R"
109,08155137,"C,S,A"
109,08155139,"C,E,R"
109,08155142,"C,A,E,S"
109,08155143,"E,S,C,I"
109,08155144,"C,R,E"
109,08155145,"R,A,C,S"
109,08155146,"E,C,I,R"
109,08155147,"C,E,R"
109,08155148,"R,E,I"
109,08155149,"C,A"
109,08155150,"S,C,E"
109,08155151,"E,I,R,S"
109,08155152,"R,A,C"
109,08155153,"C,R"
109,08155154,"I,A,C,E"
109,08155155,"S,A,C,R"
109,08155156,"C,R"
109,08155158,"C,R,E"
109,08155171,"C,R"
109,08155201,"E,C"
109,08155202,"I,R,C,S"
109,08155203,I
109,08155204,"S,C,E"
109,08155205,C
109,08155206,"C,E,I"
109,08155207,"S,C,E"
109,08155208,"E,C,R"
109,08155209,"C,E,A"
109,08155210,"C,E"
109,08155211,"R,I,C"
109,08155212,"A,R,I"
109,08155213,"C,E"
109,08155214,"I,S,C"
109,08155215,"E,A,C"
109,08155218,"C,A,I"
109,08155221,"C,E,I"
109,08155222,"C,R,I"
109,08155223,"C,S,A"
109,08155224,"C,E,S"
109,08155225,"C,E"
109,08155226,"E,R,C"
109,08155227,"C,I,S"
109,08155228,"I,C,R"
109,08155229,"C,E"
109,08155230,"C,I"
109,08155231,"E,C,S"
109,08155233,"I,A,S"
109,08155234,"C,I,R"
109,08155237,"E,C"
109,08155238,"C,I,R"
109,08155239,"C,I"
109,08155240,"I,E,A"
109,08155241,C
109,08155242,"C,S"
109,08155243,"C,E,S"
109,08155244,"C,I,R"
109,08155245,"C,E,S"
109,08155246,"E,C,I"
109,08155247,"C,I,R"
109,08155248,"I,C,R"
109,08155249,"C,R,I"
109,08155250,"C,A,I,R"
109,08155251,"I,R,C"
109,08155252,"C,S"
109,08155253,"A,I,S"
109,08155254,"R,C,I"
109,08155255,"C,E,I,R,S,A"
109,08155257,"C,R"
109,08155258,"C,E"
109,08155301,"A,E,C"
109,08155303,"I,A,E"
109,08155304,"C,R"
109,08155305,"A,R,C"
109,08155306,"R,I"
109,08155307,"C,I,E,S"
109,08155308,"A,E"
109,08155309,E
109,08155310,"C,R"
109,08155311,"A,C,R"
109,08155312,"A,C,R,S"
109,08155313,"C,I,R"
109,08155315,"E,S,A,C"
109,08155317,"C,I,R,S"
109,08155318,"C,I,R"
109,08155319,"A,E,C"
109,08155320,"C,A,R"
109,08155321,"C,S"
109,08155322,"E,S,C"
109,08155323,"R,C,E"
109,08155324,"C,A,I"
109,08155325,"C,S,I"
109,08155326,"E,C,S"
109,08155327,"A,C,E"
109,08155328,"C,E,I"
109,08155329,"E,A,C"
109,08155330,"C,I,S"
109,08155331,"R,C,I"
109,08155332,"R,C,I"
109,08155333,"A,C"
109,08155334,"E,I"
109,08155335,"C,R,A,I"
109,08155336,"C,I,S"
109,08155337,"S,R,I"
109,08155339,"C,E,R"
109,08155340,"A,I,S"
109,08155341,"C,E,S"
109,08155342,"S,E"
109,08155343,"E,C,R"
109,08155344,"C,R"
109,08155345,"C,R,I"
109,08155346,"S,C,I,R"
109,08155347,"C,I,R"
109,08155348,"E,S,C"
109,08155349,"E,R,S"
109,08155350,"E,S,I"
109,08155351,"S,A,C"
109,08155352,"I,E,R"
109,08155353,"E,C,I"
109,08155354,"C,I,S"
109,08155355,"C,R,E"
109,08155357,"C,R"
109,08155358,"I,C"
109,08156101,"C,R,I,S"
109,08156102,"I,C,R"
109,08156103,"S,E,C"
109,08156105,"A,C,I"
109,08156110,"A,E"
109,08156111,A
109,08156112,"E,I,R"
109,08156113,"I,R,C"
109,08156114,"C,I"
109,08156115,"R,C,I,S"
109,08156116,"C,I"
109,08156117,"C,E,R"
109,08156119,"E,S"
109,08156120,"A,I,R"
109,08156121,"A,S,C,I"
109,08156122,"C,E,I"
109,08156123,"C,E,S"
109,08156124,"C,S,A,R"
109,08156128,"A,C,E,I,R,S"
109,08156129,"E,A,I,S"
109,08156130,"S,R,I"
109,08156131,E
109,08156132,"R,I,E"
109,08156133,"C,I,R,S"
109,08156134,"S,C"
109,08156135,"C,R,A,E"
109,08156136,R
109,08156137,"E,S,A,C"
109,08156138,"A,C,E,I"
109,08156139,"A,I,R"
109,08156142,"E,C,I,R"
109,08156143,"E,S,C"
109,08156144,"C,A,I"
109,08156145,"R,I,S"
109,08156146,"E,C,A"
109,08156147,"A,C,E,I"
109,08156148,"A,E,S"
109,08156149,"C,R,I"
109,08156150,"R,S"
109,08156151,"I,C,E"
109,08156153,"A,I,R"
109,08156154,"E,A,I"
109,08156156,C
109,08156157,"R,C"
109,08156159,"C,R"
109,08156160,"C,E,R"
109,08156171,"R,A"
109,08156202,"R,C,A"
109,08156206,"R,I"
109,08156210,"C,E,S"
109,08156212,"I,A"
109,08156215,"E,C,I"
109,08156216,"R,I,C"
109,08156217,"E,C,I,S"
109,08156218,"A,S,C"
109,08156219,"I,C"
109,08156220,"E,A,I"
109,08156221,"A,E,I"
109,08156222,"C,S,I"
109,08156223,"A,E"
109,08156224,"C,E"
109,08156225,"S,C,E"
109,08156227,"R,A,I"
109,08156228,"A,C,I"
109,08156229,"R,C,E,I"
109,08156231,"C,E"
109,08156232,"R,C"
109,08156234,"E,C,R"
109,08156235,"A,E,S"
109,08156237,"S,A,I"
109,08156238,"A,C"
109,08156240,"E,I"
109,08156242,"A,E,C"
109,08156243,"C,I,E"
109,08156244,"C,R,A"
109,08156246,"R,C"
109,08156247,"I,S,C"
109,08156248,"S,E,I,R"
109,08156249,"A,R,I"
109,08156250,"A,C,I"
109,08156251,"A,E,C,R"
109,08156252,"I,C"
109,08156255,"R,A,I"
109,08156257,"A,I"
109,08156258,"C,E,A"
109,08156259,"C,I,E"
109,08170101,"C,E"
109,08170102,"R,C,I"
109,08170104,"C,I,E"
109,08170106,"E,I,R"
109,08170107,"C,I,R"
109,08170108,"C,A"
109,08170109,"A,I,R"
109,08170110,"I,C"
109,08170111,"A,E,R"
109,08170115,"I,C,R"
109,08170116,"S,E"
109,08170117,"S,C"
109,08170120,"C,E,I,S"
109,08170121,"C,E,I,S"
109,08170122,"C,E,S"
109,08170123,"R,C"
109,08170124,"C,E"
109,08170125,"C,E,R"
109,08170126,"E,R"
109,08170127,"C,R,I"
109,08170129,"I,R,A,C"
109,08170130,"I,R,S"
109,08170131,"C,A,E"
109,08170132,"S,I,R"
109,08170134,"E,C,R"
109,08170135,"C,S,I"
109,08170136,"E,I,S"
109,08170137,"A,E,R,S"
109,08170138,"I,S,C,R"
109,08170140,"C,I,R"
109,08170141,"A,E,S"
109,08170142,"A,R,S"
109,08170143,"E,C,I"
109,08170144,"A,S,I"
109,08170145,"I,R"
109,08170171,"C,S,A"
109,08170203,"R,C,I"
109,08170206,"I,C,E,R"
109,08170208,"C,E,S"
109,08170209,"S,C,I"
109,08170210,"C,E,A"
109,08170215,"C,E,S"
109,08170216,"A,I,R"
109,08170219,"R,I"
109,08170220,"S,C"
109,08170221,"C,E"
109,08170222,"E,S,C"
109,08170223,"I,R,S"
109,08170224,"R,E,I"
109,08170225,"E,I,R"
109,08170226,"C,R,S"
109,08170227,"C,S,A"
109,08170228,"C,E,I"
109,08170229,"C,I,R"
109,08170230,"C,E,S"
109,08170231,"R,C,I"
109,08170232,"S,A,C,I"
109,08170233,"I,E,R,S"
109,08170234,"C,R,S"
109,08170236,"I,R,C"
109,08170237,"I,A"
109,08170238,"C,E"
109,08170239,"C,S"
109,08170240,"C,R,S"
109,08170241,"C,E,S"
109,08170242,"C,I,R"
109,08170244,"C,E,S"
109,08170245,"E,I"
109,08170282,"C,S"
109,08170501,"E,C,I"
109,08335024,"S,A,R"
109,08611001,"R,A,I,S"
109,08611004,"A,S,E"
109,08611005,"A,C,E,R"
109,08611006,"A,E,S"
109,08611008,"A,C,I,R"
109,08611009,"E,A,S"
109,08611010,"R,A"
109,08611011,"A,C,E"
109,08611017,"A,S"
109,08611020,"C,E,R"
109,08611021,"A,S,E"
109,08611024,"E,C,A"
109,08611025,"A,C,E,S"
109,08611026,"R,I,S"
109,08611028,"C,E"
109,08611032,"I,E,C"
109,08611038,"S,A,I"
109,08611040,"E,A,I,S"
109,08611042,"S,E"
109,08611046,"E,A,I"
109,08611049,"I,S"
109,08611052,"A,C"
109,08611053,"S,A"
109,08611055,"A,R"
109,08611061,"R,C,I"
109,09111101,"S,A,C"
109,09111102,"C,I,E"
109,09111103,"A,E,S"
109,09111104,"A,E,R"
109,09111106,"A,E"
109,09111108,"E,C,A"
109,09111109,"S,E,C"
109,09111110,"A,C,I,S"
109,09111112,"C,S"
109,09111113,"C,A,E"
109,09111114,"A,S,C"
109,09111115,"E,I,C"
109,09111116,"A,R"
109,09111117,"C,S,E"
109,09111118,"A,I,R"
109,09111119,"I,C,R"
109,09111120,"C,I"
109,09111121,"A,C,E"
109,09111122,"A,C,E"
109,09111123,"C,I,R"
109,09111124,"A,I"
109,09111125,"S,I,E"
109,09111126,"I,A,R,S"
109,09111127,"S,C"
109,09111128,"S,A"
109,09111129,"A,I"
109,09111130,"A,I,R"
109,09111131,"A,S"
109,09111132,"C,A,E"
109,09111134,"A,S"
109,09111135,"E,A,I"
109,09111136,"S,C,I"
109,09111137,"A,C,E"
109,09111138,"A,I"
109,09111139,"S,R,C"
109,09111140,"E,S,R"
109,09111141,"I,R,A,C"
109,09111142,"A,S"
109,09111143,"C,A,E"
109,09111144,"E,I"
109,09111145,"A,S"
109,09111146,"A,I,S"
109,09111147,"A,R,S"
109,09111148,"A,E"
109,09111149,"I,S,A"
109,09111150,"S,C,A"
109,09111152,"S,A"
109,09111153,"C,I,R"
109,09111154,"S,I,R"
109,09111155,"C,S,I"
109,09111157,"A,C"
109,09111158,"A,E,S"
109,09111160,"A,I,S"
109,09111201,"E,I"
109,09111202,"A,S,C"
109,09111203,"S,A,E"
109,09111207,"A,S"
109,09111209,"E,C,S"
109,09111210,"A,C,I,S"
109,09111212,"S,A,E"
109,09111214,"C,A,S"
109,09111215,"E,S"
109,09111216,S
109,09111218,"A,I,C"
109,09111219,"A,R"
109,09111220,"A,I,R"
109,09111221,"A,E,C"
109,09111222,"A,C,I"
109,09111223,"C,A,I"
109,09111224,"A,C,I"
109,09111225,"A,I,S"
109,09111226,"E,I,R"
109,09111227,"C,A,R"
109,09111228,"R,A,C,S"
109,09111229,"A,E"
109,09111230,"C,A,S"
109,09111231,"A,C"
109,09111232,"A,C,R"
109,09111233,"A,S,R"
109,09111234,"A,R"
109,09111235,"S,C,R"
109,09111236,"C,A"
109,09111237,"C,S,A"
109,09111238,"C,S"
109,09111239,"A,I,R"
109,09111240,"A,E"
109,09111241,"S,I,R"
109,09111242,"C,A,S"
109,09111243,"A,E,S"
109,09111244,"C,I"
109,09111245,"A,C,E"
109,09111246,"E,A"
109,09111247,"C,I"
109,09111248,"A,C,I,R"
109,09111249,"E,A,R,S"
109,09111250,"A,C,I"
109,09111251,"S,C"
109,09111252,"E,A,R"
109,09111253,"A,S"
109,09111254,"A,E,C"
109,09111255,"C,R,E"
109,09111256,"A,S,C"
109,09111258,"A,S,C"
109,09111274,"I,R,S"
109,09111301,"S,A"
109,09111302,"I,A,E,R"
109,09111303,"R,C,S"
109,09111307,"C,S,E"
109,09111308,"S,E,C"
109,09111309,"A,S,R"
109,09111310,"E,A,C,R"
109,09111313,"A,C,E"
109,09111314,"I,S,R"
109,09111315,"A,I,R"
109,09111316,"C,E,I"
109,09111317,"S,A,C"
109,09111321,"A,I"
109,09111322,"C,E,S"
109,09111323,"S,A,C"
109,09111324,"C,S"
109,09111326,"C,R,S"
109,09111327,"A,I,S"
109,09111329,"A,S,R"
109,09111330,"E,A,S"
109,09111332,"A,E"
109,09111333,"C,S"
109,09111334,"S,E"
109,09111335,"A,I,S"
109,09111336,"I,A,C,R"
109,09111337,"A,E,S"
109,09111338,"C,R"
109,09111340,"A,S"
109,09111341,"A,E,S"
109,09111342,"R,A"
109,09111343,"C,A,I,R"
109,09111344,"C,A"
109,09111345,"A,C,R"
109,09111346,"C,E,S"
109,09111347,"S,A,E"
109,09111348,"A,S,C,E"
109,09111349,"A,I"
109,09111350,"S,A,C"
109,09111351,"E,A,S"
109,09111352,"A,E"
109,09111353,"A,E,I,S"
109,09111354,"A,S,E"
109,09111355,"C,I,S"
109,09111357,"A,C"
109,09111358,"A,R"
109,09112001,"A,C,I,R"
109,09112002,"S,A,C"
109,09112004,"E,S,R"
109,09112005,"A,E,S"
109,09112007,"A,I,S"
109,09112008,"A,I,S"
109,09112009,"C,S,A"
109,09112012,"I,C,S"
109,09112013,"C,E,I"
109,09112014,"C,A,I"
109,09112015,"C,R,E"
109,09112017,"A,C,I"
109,09112018,"I,C"
109,09112019,"C,E,S"
109,09112020,"A,E,S"
109,09112021,"C,E"
109,09112022,"R,I"
109,09112023,"C,R,S"
109,09112024,"A,S,R"
109,09112025,"E,R,C"
109,09112026,"E,A,C"
109,09112027,"I,A,C,R"
109,09112028,"I,A,S"
109,09112029,"S,A"
109,09112030,"A,C"
109,09112031,"C,S,A"
109,09112032,"A,I,R"
109,09112034,"C,I,S"
109,09112035,"C,S,I"
109,09112036,"E,A,S"
109,09112037,"A,S"
109,09112038,"E,R,S"
109,09112039,"A,C,I"
109,09112040,"C,S"
109,09112041,"A,S"
109,09112042,"S,C,E,I"
109,09112043,"E,S,I,R"
109,09112045,"A,E"
109,09112046,"I,A,R"
109,09112047,"S,I,E"
109,09112048,"A,I"
109,09112049,"A,R,I"
109,09112050,"I,C,R,S"
109,09112051,"E,A,I"
109,09112052,"A,E,S"
109,09112053,"S,A"
109,09112054,"S,E"
109,09112055,"A,E"
109,09112056,"C,S,A"
109,09112057,"I,R"
109,09112058,"A,C,S"
109,09112059,"A,S,E"
109,09112060,"A,E,S"
109,09112061,"C,R,I,S"
109,09113003,"A,E,S"
109,09113004,"A,C,E"
109,09113005,C
109,09113006,"C,E"
109,09113007,"E,S,A"
109,09113008,E
109,09113009,"C,S,I"
109,09113010,"A,R,I"
109,09113012,"I,S,A"
109,09113013,"I,C,E,S"
109,09113014,"A,C,S"
109,09113015,"A,C"
109,09113016,"C,I,R"
109,09113017,"E,S,A"
109,09113019,"C,I,R"
109,09113020,"C,S,A,R"
109,09113021,"C,E,S"
109,09113022,"A,E,C"
109,09113023,"A,I,C"
109,09113024,"E,A"
109,09113025,"A,R,I"
109,09113029,"C,S"
109,09113030,"A,I,R"
109,09113032,"R,C,I"
109,09113033,"C,A,E,I"
109,09113034,"A,E,S"
109,09113035,"R,I,C"
109,09113036,"S,R"
109,09113037,"A,E,R"
109,09113038,"E,C,S"
109,09113039,"A,C,R"
109,09113040,"I,E,S"
109,09113041,"C,S"
109,09113042,"A,R"
109,09113044,"E,A"
109,09113045,"S,A,R"
109,09113046,"A,C,E"
109,09113047,"I,A"
109,09113048,"S,E,I"
109,09113050,A
109,09113051,"C,I,R"
109,09113052,"A,I,R"
109,09113053,"E,C,I"
109,09113054,"A,E,C"
109,09113055,"A,C,R"
109,09113056,"E,S,A"
109,09113057,"A,E,I"
109,09113058,"S,A,E"
109,09113059,"A,I"
109,09113060,"E,A,C,I"
109,09113061,"C,R,I"
109,09113062,"I,R,A"
109,09114101,"E,S,A,I"
109,09114102,"A,R"
109,09114103,"E,C,S"
109,09114104,"R,I"
109,09114105,"A,E,S"
109,09114106,"E,S,C"
109,09114107,"E,I"
109,09114108,"C,R"
109,09114109,"R,I,C"
109,09114111,"S,E,I"
109,09114112,"E,C,R"
109,09114113,"A,I"
109,09114114,"I,C,E,S"
109,09114118,"E,S,R"
109,09114119,"S,C,E"
109,09114120,"C,S,R"
109,09114121,"A,E,I"
109,09114122,"I,A,S"
109,09114123,"C,I,S"
109,09114124,"A,C,R,S"
109,09114125,"A,I"
109,09114126,"E,S,A"
109,09114127,"E,S"
109,09114129,"E,I,C"
109,09114130,"E,C,R,S"
109,09114133,"E,A,C"
109,09114134,"I,E,A"
109,09114135,"C,R,E"
109,09114136,"R,E"
109,09114137,"C,S,E"
109,09114138,"E,A,S"
109,09114140,"S,E"
109,09114141,"C,E,I,R"
109,09114142,"C,I,R"
109,09114143,"A,S,E,I"
109,09114144,"E,S"
109,09114145,"I,R,E"
109,09114146,"E,C"
109,09114147,"E,I,C"
109,09114148,"E,C,S"
109,09114150,"S,C"
109,09114151,"C,S,E"
109,09114152,"E,S"
109,09114153,"E,S,C"
109,09114154,"E,A"
109,09114155,"C,S"
109,09114156,"E,C,S"
109,09114157,"E,A,S"
109,09114158,"S,A"
109,09114159,"S,I"
109,09114160,"C,S"
109,09114161,"I,S,E"
109,09114201,"E,S,I"
109,09114203,"A,E,S"
109,09114204,"S,C,I"
109,09114205,"E,R,S"
109,09114207,"C,E"
109,09114208,"E,A,S"
109,09114209,"A,E,I"
109,09114210,"I,A,R"
109,09114211,"R,C,S"
109,09114212,"E,I,S"
109,09114213,"E,C"
109,09114214,"I,C,R"
109,09114215,"E,I"
109,09114216,"A,C,I,S"
109,09114217,"C,S,I"
109,09114218,"C,S"
109,09114219,"C,S,I"
109,09114220,"I,R,A,C"
109,09114221,"S,E,A"
109,09114222,"A,C,I"
109,09114223,"C,R,E"
109,09114224,"S,R"
109,09114225,"C,S"
109,09114226,"A,C,I"
109,09114228,"E,A"
109,09114229,"S,C,E"
109,09114230,"A,I,C"
109,09114231,"C,A,R"
109,09114232,"A,E,S"
109,09114234,"A,I,E"
109,09114236,"E,C,R,S"
109,09114237,"C,I"
109,09114238,"E,S,A"
109,09114239,"A,I,S"
109,09114240,"A,S"
109,09114241,"S,C"
109,09114243,"A,S,E"
109,09114244,"E,S"
109,09114246,"E,R"
109,09114247,"A,C"
109,09114248,"E,A"
109,09114249,"R,A,C"
109,09114250,"A,C,I"
109,09114251,"R,C,E"
109,09114252,"E,S,C"
109,09114253,"E,S,A"
109,09114254,"C,E,S"
109,09114255,"E,S"
109,09114256,"C,E,S"
109,09114257,"A,C"
109,09114258,"S,E"
109,09114259,"C,I,R"
109,09114260,"R,S,A"
109,09115101,"I,C,E"
109,09115102,"E,S,A"
109,09115103,"C,I,S"
109,09115104,"I,S,C"
109,09115105,"E,A,S"
109,09115106,"E,S,R"
109,09115107,"C,S,E"
109,09115108,"E,S,A"
109,09115109,"I,E"
109,09115110,"E,S,C"
109,09115111,"E,C"
109,09115112,"R,S,E"
109,09115113,"C,S,I"
109,09115114,"C,E"
109,09115115,"S,I"
109,09115116,"S,E,C"
109,09115118,"E,S,I"
109,09115120,"S,E,C"
109,09115121,"C,E,S"
109,09115122,"E,I,C,R"
109,09115124,"E,I"
109,09115125,"A,E,S"
109,09115126,"A,S,C"
109,09115127,"S,C,E"
109,09115128,"C,S,A"
109,09115129,"C,E"
109,09115130,"E,I,R"
109,09115131,"S,C,E"
109,09115132,"A,C,S"
109,09115133,"A,S"
109,09115134,"R,A,C,I"
109,09115136,"S,A,E"
109,09115137,"C,I,S"
109,09115138,"E,S,A"
109,09115139,"A,S,I"
109,09115140,"A,I,S"
109,09115141,"A,S,R"
109,09115142,"E,A,S"
109,09115144,"C,A,E"
109,09115145,"C,R"
109,09115146,"C,S,E"
109,09115147,"S,A,I"
109,09115148,"S,C,E,I"
109,09115149,"C,A,S"
109,09115150,"S,E,R"
109,09115151,"A,C,E,S"
109,09115152,"A,C,S"
109,09115153,"C,I"
109,09115154,"A,E,S"
109,09115155,"C,I"
109,09115156,"A,I,S"
109,09115157,"C,S"
109,09115158,"A,C"
109,09115159,"S,C"
109,09115160,"A,I,R"
109,09115161,"I,A,C,S"
109,09115162,"A,E,S"
109,09115201,"S,C,E,R"
109,09115202,"C,E"
109,09115203,"E,A,S"
109,09115204,"R,A,E,S"
109,09115205,"I,S,R"
109,09115206,"C,R"
109,09115207,"S,C,E"
109,09115208,"A,E,S"
109,09115209,"C,I"
109,09115210,"E,I,R,S"
109,09115211,"E,S"
109,09115213,C
109,09115214,"I,C,E,S"
109,09115215,"R,A,S"
109,09115216,"E,C,S"
109,09115217,"E,C,A"
109,09115218,"C,E,A"
109,09115219,"I,A,C"
109,09115220,"A,E"
109,09115221,"C,I,S"
109,09115222,"S,I,R"
109,09115223,"C,R"
109,09115224,"I,R,C"
109,09115226,"C,E,I"
109,09115227,"S,C,E"
109,09115228,"A,C,E"
109,09115229,"A,S"
109,09115230,"C,S"
109,09115231,"C,R,A"
109,09115232,"A,S"
109,09115233,"A,I,S"
109,09115234,"S,A"
109,09115235,"A,S"
109,09115236,"E,A"
109,09115237,"S,E,I"
109,09115238,"A,R,E"
109,09115239,"A,S"
109,09115240,"C,R,I"
109,09115243,"A,S"
109,09115244,"S,E,C"
109,09115245,"E,S"
109,09115246,"E,C,S"
109,09115247,"A,R,C,I"
109,09115248,"S,C"
109,09115249,"I,S,R"
109,09115250,"C,E"
109,09115251,"A,E,I,S"
109,09115252,"E,S,A"
109,09115253,"C,E,I,R"
109,09115254,"E,I"
109,09115255,"C,I,E,S"
109,09115256,"I,C,R"
109,09115257,"A,C,S"
109,09115258,"C,E,S"
109,09115259,"S,C,A"
109,09115260,"A,C,I,S"
109,09115261,"S,E,I"
109,09115274,"I,S,A"
109,09116101,"S,A"
109,09116102,"C,E,S"
109,09116103,"S,C,E"
109,09116104,"S,E,I"
109,09116105,"E,S,C"
109,09116106,"C,A"
109,09116107,"S,C"
109,09116108,"A,S"
109,09116109,"S,E,I,R"
109,09116110,"S,R"
109,09116111,"A,I,S"
109,09116112,"C,E,R"
109,09116113,"A,S,I"
109,09116114,"S,A"
109,09116115,"S,E,C"
109,09116116,"S,C"
109,09116117,"S,E"
109,09116118,"S,A"
109,09116119,"C,S"
109,09116120,"A,C,E"
109,09116121,"S,E,I"
109,09116122,"C,S"
109,09116123,"C,S,E,R"
109,09116124,"C,S,R"
109,09116125,"E,S,A"
109,09116126,"C,I,R"
109,09116127,"S,C,I"
109,09116128,"S,A,R"
109,09116129,"A,S"
109,09116130,"C,S,I"
109,09116131,"S,E"
109,09116132,"A,I"
109,09116133,"S,C"
109,09116134,"C,A,I"
109,09116135,"S,C"
109,09116136,"C,S,E"
109,09116137,"S,C,A"
109,09116138,"S,A,E"
109,09116139,"S,E"
109,09116140,"C,S,I"
109,09116141,"I,S"
109,09116142,"A,C,S"
109,09116143,"S,E,I"
109,09116144,"S,E"
109,09116145,"S,E,A"
109,09116147,"S,I,A"
109,09116148,"S,I,R"
109,09116149,"S,E,A"
109,09116150,"S,A,C,I"
109,09116151,"R,C,S"
109,09116152,"S,C"
109,09116153,"S,A"
109,09116154,"C,S"
109,09116155,"C,E,R,S"
109,09116156,"E,S,A"
109,09116157,"S,C,R"
109,09116158,"S,E,R"
109,09116159,"E,C,S"
109,09116161,"S,C,R"
109,09116162,"A,I,E"
109,09116163,"S,C,E"
109,09116201,"S,A,C"
109,09116202,"E,S"
109,09116203,"S,C,I"
109,09116204,"C,E"
109,09116206,"E,C"
109,09116207,"C,I,S"
109,09116209,"S,A,C"
109,09116210,"S,C,R"
109,09116211,"S,C"
109,09116212,"C,S,E,I"
109,09116213,"C,S"
109,09116215,"I,C"
109,09116216,"S,E"
109,09116217,"A,S"
109,09116218,"R,S,I"
109,09116219,"R,E,I,S"
109,09116220,"S,E,C"
109,09116221,"A,S,E"
109,09116222,"E,C,I"
109,09116224,"R,S,E,I"
109,09116225,"E,S"
109,09116226,"A,C,R,S"
109,09116227,"A,C,R,S"
109,09116228,"E,A,S"
109,09116229,"S,A"
109,09116230,"S,A,C"
109,09116231,"S,A,R"
109,09116232,"S,A,C"
109,09116233,"S,I,E"
109,09116234,"C,E,I,S"
109,09116235,"A,S"
109,09116236,"S,C,I,R"
109,09116237,"E,I,A,S"
109,09116238,"C,S"
109,09116239,"A,S,E"
109,09116240,"A,S,R"
109,09116242,"A,S"
109,09116243,"S,I,R"
109,09116244,"C,S,A"
109,09116245,"S,E,A"
109,09116246,"A,I,R"
109,09116247,"C,R,I"
109,09116248,"S,I"
109,09116249,"S,A,R"
109,09116250,"A,S,E"
109,09116251,"S,C"
109,09116252,"S,A"
109,09116253,"C,E,I"
109,09116254,"S,A,I"
109,09116255,S
109,09116256,"S,A,E"
109,09116257,"S,C,E"
109,09116258,"C,E,S"
109,09116259,"A,I,S"
109,09116260,"S,E,C"
109,09116261,"S,E,I,R"
109,09116262,"A,S,R"
109,09116263,"A,R"
109,09116264,"A,I,R"
109,09117001,"A,E,I,S"
109,09117002,"A,S"
109,09117003,"A,R,S"
109,09117004,"R,A"
109,09117005,"E,A,R"
109,09117006,"S,A,I"
109,09117007,"C,E,S"
109,09117008,"I,C"
109,09117009,"S,E"
109,09117010,"S,A"
109,09117011,"A,C,S"
109,09117012,"A,C,E"
109,09117013,"A,C,R"
109,09117014,"S,A,C,E"
109,09117015,A
109,09117016,"E,A"
109,09117017,"A,E,R"
109,09117018,"I,C,S"
109,09117019,A
109,09117020,"E,S,A"
109,09117021,"E,S,A"
109,09117022,"I,C,S"
109,09117023,"A,C"
109,09117024,"A,S"
109,09117025,"A,C"
109,09117026,"A,S,C"
109,09117027,"I,S"
109,09117028,"S,A,E"
109,09117029,"C,A"
109,09117030,A
109,09117031,"A,C"
109,09117032,"A,I"
