年度,學號,
106,04152231,"C,I,S"
106,04152232,"A,R"
106,04152233,"A,C,S"
106,04152234,"C,S"
106,04152235,"C,R"
106,04152236,"S,C,I"
106,04152237,"C,S,A,I"
106,04152239,"C,S,I"
106,04152240,"C,R,E"
106,04152241,"I,R,E"
106,04152242,"R,S,E"
106,04152243,"C,E,R"
106,04152244,"C,I"
106,04152245,"E,C,R"
106,04152246,"I,A"
106,04152247,"S,R"
106,04152248,"C,E,S"
106,04152249,"C,I,S"
106,04152250,"C,I"
106,04152251,"E,R,C"
106,04152252,"A,C,R"
106,04152254,"C,A,E"
106,04152255,"E,S"
106,04152256,"E,A,C"
106,04152257,"I,C,E"
106,04152258,"C,R,I"
106,04152259,"C,R,S"
106,04152271,"C,I,R"
106,04152272,"C,R,I"
106,04152281,"E,S,C,I"
106,04152283,"R,I,A"
106,04152301,"R,C,I"
106,04152302,"C,S,E"
106,04152303,"A,E,R"
106,04152304,"R,A,E"
106,04152305,"C,R"
106,04152306,"R,A,I"
106,04152307,"C,R,S"
106,04152308,"C,R,S"
106,04152309,"A,S"
106,04152310,"E,I,C"
106,04152311,"C,I,E"
106,04152313,"I,R,C"
106,04152314,"C,S,E"
106,04152315,"C,E,S"
106,04152316,"C,I,R"
106,04152317,"C,R"
106,04152318,"C,A,I"
106,04152319,"C,R,A"
